income,loan_amount,credit_score,loan_term_months,dependents,employment_years,existing_loans,approved
47158,246751,661,36,1,1.7,1,0
25730,195410,825,24,0,7.3,1,0
60922,138302,560,12,3,7.8,1,0
60221,160270,589,36,1,2.9,0,0
55102,234456,696,24,0,2.7,0,0
50308,92815,666,24,1,5.5,2,0
26693,175807,682,24,2,8.8,0,0
46587,122466,694,36,2,9.5,0,1
48146,152012,707,48,0,0.8,0,1
38954,239492,750,36,2,8,0,0
51774,163377,687,60,2,4.8,0,0
63081,153251,628,36,0,4.9,2,1
92724,54810,711,24,0,6.5,0,1
58492,202238,821,12,1,3.6,0,1
60151,195184,638,36,0,8.3,2,0
53511,301428,562,36,2,9.3,2,0
16625,128456,750,24,0,9.4,0,0
54470,165341,639,12,3,0,0,0
56205,167457,454,12,1,4.3,1,0
104265,260422,726,60,0,0,1,1
51153,143329,602,36,0,2.7,1,1
61031,169532,642,12,1,0,1,1
54306,192553,680,12,2,6.4,1,0
31626,163063,667,48,2,5.7,0,1
77856,118750,714,48,0,3.7,1,1
70039,163586,611,12,0,2.6,0,1
70821,225154,696,60,0,5.9,1,0
36812,78144,627,12,1,2,1,1
83056,159308,716,24,0,1.8,0,1
26963,100992,705,36,1,1.4,0,0
66737,233653,566,60,1,4.4,0,0
98809,43377,748,24,3,3.3,0,1
35189,110875,602,60,0,3.8,1,1
43674,176405,723,24,0,6.6,0,1
56993,259587,683,36,1,7.9,1,0
44930,145397,815,36,1,9.4,0,1
23987,111136,630,48,0,5.2,1,0
56371,281681,619,24,3,6,1,0
33754,48639,648,48,2,5.6,1,0
64472,20000,623,24,0,0,0,1
36612,180801,722,48,0,3.9,2,0
85999,114856,505,36,1,3.9,0,1
39335,78514,555,60,2,3.5,0,0
48559,199585,554,48,0,4.9,0,0
71270,167066,736,24,1,4.3,0,1
30383,110514,804,24,1,2,2,0
59549,60379,641,36,0,4.5,0,1
81143,211072,635,24,1,3.1,1,1
22850,195514,656,12,3,0,1,0
58693,143058,755,60,0,0.8,0,1
60198,279265,567,48,0,5.3,1,0
70636,75094,671,60,1,8.3,0,1
30261,43213,738,36,2,0,0,1
28591,101566,695,48,3,2.4,0,0
65439,146809,667,48,1,6.3,2,1
60940,167034,740,12,2,7.6,2,0
60010,133113,407,36,1,3.7,0,0
61929,174644,711,24,1,3,0,1
41400,62392,591,12,0,8.7,1,0
59645,251064,485,12,0,7.4,0,0
60861,144249,696,60,0,7.6,1,1
40713,228211,774,60,1,3.6,0,1
92315,173991,638,60,0,8.3,0,1
64477,181973,736,12,3,0,1,1
31174,189884,795,24,0,8.4,0,1
68131,181340,768,48,0,4.8,2,1
35506,194991,798,60,1,5.4,2,0
70742,243041,717,24,2,2.2,0,1
78172,163756,657,36,0,0,0,1
38586,199630,506,60,0,5.3,2,0
74268,143719,628,48,3,6.7,2,1
63256,250808,574,36,0,7.1,0,0
71441,102653,845,36,0,6.8,1,1
92936,276066,634,48,2,6.1,0,1
50092,147189,661,60,0,2.2,0,0
39925,49846,700,12,1,7.3,1,0
37210,158967,654,48,0,1.9,0,0
38684,102326,803,48,0,8.3,2,1
53458,208845,594,48,0,4.7,0,1
61823,104316,668,36,0,4.8,1,1
60534,118767,583,24,0,7.6,0,1
71544,20000,531,12,0,8,0,1
55260,118339,595,60,2,7.3,1,0
84071,20000,647,60,0,2.5,0,1
49707,39127,611,24,1,7.3,0,0
109403,203229,588,48,2,2.6,0,1
67513,205006,523,12,1,7.4,0,1
37857,179782,643,60,0,0.7,1,0
33582,82312,515,60,3,4.7,0,0
64649,146660,718,48,0,2.5,0,0
50531,149748,657,24,0,7.6,0,0
69280,68914,519,12,2,8.3,0,0
64465,255238,622,24,1,5.6,0,1
53543,211415,582,24,1,5.5,0,0
38064,134533,679,12,0,7.1,0,1
24703,151882,771,12,1,8.4,1,1
46070,164587,481,60,0,5.1,1,0
72128,20000,660,60,3,3.5,0,1
59282,132698,636,12,0,6.9,0,1
30085,102261,710,36,2,0,0,0
58464,79887,669,60,1,7.7,0,1
62706,130323,582,36,2,2.9,0,0
37323,275838,621,12,2,4.3,0,0
58075,194859,578,60,1,7.7,0,0
56164,110017,747,24,0,3.8,0,0
32141,190081,652,12,0,6.9,0,1
62156,247955,821,48,0,8.4,0,1
66216,214724,645,36,2,5.3,0,0
76661,154174,586,12,2,5.9,0,1
76076,104714,514,12,1,4.6,0,0
27447,198876,488,60,0,5.3,0,0
36243,177544,507,60,0,1.7,0,0
65301,212664,674,60,1,4.1,0,1
65276,194462,696,48,1,1.1,0,1
65301,223469,508,60,2,2.3,0,0
132055,112534,731,12,3,0,0,1
66418,242218,607,60,0,5.8,0,0
77711,163832,663,24,1,10.1,1,1
74080,295268,795,60,1,3.6,0,1
68028,101757,731,48,0,7.9,0,1
48695,271517,626,24,0,8.4,1,0
70179,163854,570,12,0,1.4,0,0
39543,104401,456,12,2,2,0,0
50264,116128,585,36,1,8,1,0
45293,127576,631,24,1,4.7,1,0
56637,179692,561,36,3,1.1,0,1
101293,186598,638,24,2,3.1,0,1
17655,109841,657,24,0,6.3,0,0
68725,148295,630,48,1,2.6,0,1
22746,299959,591,36,1,0,0,0
45561,270928,665,48,2,4,0,0
76779,180543,690,24,2,4.3,0,1
56286,152660,552,12,1,5,2,0
33445,158402,777,24,0,8.8,2,0
40694,192946,641,48,2,5.2,0,0
68592,78405,652,36,0,5.7,1,1
40393,131984,714,36,0,8.2,0,0
59329,33199,671,48,0,5,1,1
55911,177946,736,36,0,11.4,0,1
41968,195304,676,60,0,1.2,0,0
97879,116177,595,12,2,2.2,0,1
67678,260179,683,12,3,6.8,0,0
15000,64196,547,12,0,8.8,0,1
58729,47494,660,36,0,4.4,1,1
41764,165712,647,36,0,2,1,0
72049,223297,631,24,0,10.3,0,1
39150,267875,638,24,0,2.6,0,0
52705,117878,481,12,3,6,0,0
65100,225508,601,60,0,8.9,1,1
72315,147304,658,24,1,3.7,2,1
30994,137916,664,24,0,3.1,2,0
48310,211856,558,36,2,3.3,1,0
45501,195663,764,60,2,7.7,0,0
41933,39653,572,12,3,8.2,0,0
90309,253358,737,24,2,5.1,0,1
63100,246606,688,60,0,10.6,2,1
29782,106211,592,60,0,5.1,0,0
73357,177706,810,12,1,8.9,0,1
97443,184582,543,60,0,3.7,1,1
75649,168247,733,60,1,12,0,1
24613,111479,740,60,0,9.7,0,0
45315,102986,590,24,0,4.6,1,1
80338,148211,775,12,1,9.3,0,1
40847,232091,627,60,1,9.2,0,0
63876,188052,676,60,2,9.7,1,1
70493,124057,673,24,0,0,1,0
36461,204019,638,12,1,7.2,2,0
53809,20000,723,36,0,6.6,0,1
15000,230414,721,24,0,6.4,0,0
34512,28220,493,12,1,5.7,1,0
49949,124629,767,60,0,5.7,0,1
30044,71623,500,12,0,8.8,0,0
87648,59372,743,12,0,6.6,1,1
26397,231258,751,12,0,5.7,0,1
46199,117261,552,36,0,8.4,0,0
57615,174255,613,12,0,6.3,0,0
83825,146716,550,36,0,6.5,0,0
26283,183393,631,60,0,10.6,0,0
78263,155378,622,36,1,3.7,0,1
55205,60191,720,60,0,0.5,1,1
35370,219739,768,60,0,5.2,2,0
64242,115437,776,36,0,5.6,0,1
58981,41039,599,24,1,7.2,0,1
42996,120032,631,48,2,5.3,0,0
56396,255053,498,12,2,7.3,0,0
47294,209516,577,48,2,12.5,1,0
57270,125594,737,12,1,7.4,1,1
68243,125552,795,12,1,7.9,1,1
86720,127486,539,60,1,4.6,0,1
30244,295372,597,12,0,0.8,0,0
97661,176735,648,12,0,0,0,1
15958,180103,675,36,0,3.4,0,0
51964,222120,577,48,3,0,1,0
66766,166715,688,36,1,6.5,2,1
60620,131867,607,12,2,3.9,0,1
42546,136256,649,60,0,1.1,1,1
50838,144988,699,36,1,5.4,0,1
45140,147394,651,36,0,2.8,0,0
43213,200934,611,24,0,6.4,0,0
71992,153636,640,12,2,7.1,0,1
62140,201285,642,60,1,2.9,0,1
41142,144350,617,36,0,4.3,1,0
72992,155504,627,36,2,5.6,1,0
61146,20000,794,60,0,0.8,0,1
71257,214143,700,12,3,5.6,0,1
67593,174254,623,24,0,0.7,1,0
38420,219861,713,36,0,6.7,1,0
43796,20000,620,24,0,3.7,1,0
69946,296186,756,48,0,0.7,0,1
67207,140229,683,12,0,3.3,2,1
54582,227573,640,48,1,3.4,0,0
57347,77207,690,48,2,8.2,1,0
80553,192894,509,48,2,5.5,0,1
43169,76261,549,12,0,2.1,1,0
65942,106336,543,12,1,9.9,0,1
50956,283982,663,60,0,6.9,0,0
50646,136652,806,24,0,4,0,1
76976,165220,851,24,1,0.3,0,1
71508,210905,707,60,1,3.7,1,0
71270,184698,695,60,0,4.3,1,0
81110,160529,488,48,0,6.1,2,0
55420,175547,601,60,3,6.8,0,0
68639,318239,579,36,0,7.4,1,0
48795,145967,594,24,1,0.2,1,0
61483,164077,635,60,1,5.6,0,0
52397,223546,608,36,0,4.5,0,0
56940,227387,472,36,0,13,1,0
66903,233092,717,36,0,5.2,2,0
38636,194711,553,36,2,3.1,1,0
96848,69990,672,48,1,5.3,0,1
34880,264340,837,36,1,5,0,0
30716,69756,567,48,3,0,0,0
78162,171184,422,48,2,6.2,1,1
70833,97201,624,36,1,4.1,1,0
67482,145510,749,24,1,4.9,0,1
67567,173013,826,36,1,2.4,1,1
54755,172495,539,36,1,1.7,0,0
37055,179534,695,36,1,7.6,2,0
56516,262960,608,24,1,8.3,0,0
41457,181747,640,12,0,6.3,0,1
74502,132909,888,12,1,0,0,1
52059,217486,515,48,0,6.4,0,0
38490,233263,673,48,0,0,0,1
48572,64067,692,24,0,3,0,1
63259,191818,748,60,1,7.6,0,1
43726,199082,659,12,1,7,1,0
38556,129171,678,48,0,6.4,0,1
59874,246299,615,12,1,8.9,0,1
59899,139496,674,24,1,6.7,0,1
44861,158790,619,24,0,0,1,0
45579,137885,706,60,1,3.9,0,1
59641,151091,617,60,2,4.9,2,0
26038,73261,684,24,2,4.5,1,1
26851,49196,647,48,1,3.1,0,0
40631,261615,751,12,1,1.9,0,0
50731,90713,645,36,0,12.2,0,1
61218,80603,490,60,0,3.8,0,0
84507,20000,764,36,0,12.1,1,1
72153,105273,568,48,3,1.6,2,0
51801,57384,591,60,0,7,0,1
54620,264941,596,36,0,5.7,0,1
34949,220687,774,48,2,2.2,1,1
54630,101829,458,12,3,3.6,1,1
49227,307671,900,48,2,5,0,1
61454,218724,745,60,0,2.5,0,1
38455,127262,670,24,0,4.2,0,1
65387,20000,645,12,0,0,1,1
85655,310366,676,36,0,7.1,0,1
52825,52730,697,60,0,8.7,0,1
63034,34822,708,24,1,6.4,2,1
68803,221580,700,48,3,11.8,1,1
46976,320783,658,24,0,7,1,0
59482,246899,632,60,1,8.4,0,0
55252,189474,636,60,1,8.7,0,1
56954,191633,632,24,0,0,2,0
39540,209739,752,48,1,6.3,0,0
55490,203125,703,24,0,0.9,0,1
64960,169683,385,60,0,1.5,0,0
84023,157294,709,60,2,2,0,0
74185,145618,668,36,0,4.1,0,1
98064,97222,648,36,3,7,1,1
39653,130353,615,12,0,6.3,2,0
72446,31493,751,60,1,5,2,0
58667,143116,735,36,1,7.2,0,1
98796,80799,580,24,0,7.4,0,1
38834,72749,687,48,0,6.3,0,1
38206,162593,563,24,1,0,1,0
43012,247440,526,48,2,2.8,0,0
15000,214282,594,36,2,5.1,1,0
44485,40065,728,12,1,7.2,1,1
39817,80726,736,24,2,1,0,1
58008,215854,696,24,1,5,0,1
61835,81226,715,24,2,0.3,2,1
92523,134276,696,48,1,8.1,2,0
74008,188504,592,36,1,5.7,0,1
43462,82216,689,24,2,1,0,1
37032,157376,722,24,0,0.9,2,0
64838,56618,718,12,2,6.2,0,1
28595,107904,757,12,1,9.1,0,1
91629,172385,714,36,0,1.7,0,1
78589,38490,682,36,0,7.4,0,1
45616,180833,746,60,0,3.4,0,1
20737,148625,648,12,1,7.5,0,0
82077,188674,571,60,2,7,0,1
52709,165674,635,48,0,5.5,0,1
79756,245490,583,60,2,0,2,0
23111,158766,589,24,2,7,1,0
43012,119942,637,60,0,6.5,1,1
55105,158561,579,36,2,6.2,1,0
55940,188031,622,48,3,5.6,0,0
45999,153420,480,24,2,2.4,0,0
67457,152841,669,60,2,8.2,2,1
33648,100861,650,48,3,7.7,0,0
52152,103597,576,48,1,1.8,0,0
57406,51818,709,24,0,8.9,1,1
65289,272470,734,60,2,5.4,0,0
69232,62930,505,48,1,5.4,0,1
32507,101497,581,48,1,4.5,2,0
24318,99711,581,12,0,4.8,1,0
80554,212645,565,48,2,9.1,0,0
61646,129354,725,12,0,8.1,2,1
40030,237342,633,60,3,8,1,0
86023,102856,626,60,0,5.6,1,1
57313,169530,470,60,0,7.7,0,1
78586,91526,707,36,1,2.5,0,1
56350,300160,538,60,0,6.8,1,0
96215,66868,655,48,1,4.5,1,1
90107,171687,675,24,3,0,1,0
50021,194364,772,12,2,0.2,0,1
74431,178966,532,36,0,3,0,0
67908,137030,378,60,0,6.2,1,0
82373,140913,667,60,2,3,0,1
35702,153067,812,24,3,3.2,0,1
68721,139710,762,24,1,7.3,0,1
76168,217472,669,36,1,3.3,0,1
19825,304737,606,12,0,9,1,0
31335,110976,723,60,2,8.5,1,0
15000,54114,562,36,1,5.1,0,0
49612,143820,693,48,0,7.3,0,1
69351,330580,695,48,0,6.9,1,0
85047,93743,745,36,2,4.3,0,1
56482,264738,898,60,0,7.6,0,1
87572,267439,685,36,0,8,2,1
27398,111249,604,60,1,2.1,0,0
20932,189829,648,24,0,5.5,2,0
53889,263988,491,36,0,5.4,0,0
62681,123461,587,60,2,7.5,0,0
54346,135749,613,36,2,3.7,0,0
15000,109282,603,36,2,3.2,2,0
53218,78967,664,60,2,5.5,0,1
28911,104551,576,60,1,8.5,0,0
68393,64324,751,12,2,1.4,2,0
62332,152386,650,36,0,1.9,0,1
36202,96102,649,48,1,3.4,0,0
44723,166365,620,36,3,4,0,0
33816,41087,664,36,0,0,1,0
53746,173162,724,60,0,9.5,0,1
74103,208347,572,36,1,4.6,0,1
35285,20000,591,36,0,4.2,0,1
65081,176184,623,48,0,9.9,0,1
44395,235937,529,60,2,7.2,2,0
39143,65325,576,36,3,3.4,2,0
52859,267080,607,24,1,5.5,1,0
34295,179331,729,12,0,4.9,1,0
43927,100649,674,48,0,9.3,1,0
31042,146096,667,36,2,4.5,0,0
94295,189083,727,24,1,0.7,1,1
55705,155320,638,36,0,0,0,0
41005,187713,685,36,1,9.4,0,0
59280,85553,641,60,0,2.6,1,1
52753,161855,674,60,1,7,0,1
50581,51040,598,60,2,5.2,1,1
67283,142214,431,24,1,3.8,0,1
70150,86726,638,36,1,4.2,1,1
44390,98513,778,12,0,9.8,0,1
43484,236527,733,48,2,0.7,1,0
49499,226392,737,60,1,3.8,1,1
15000,192640,761,60,0,7.7,0,0
24696,73538,658,36,1,1.2,0,1
82337,127851,668,36,0,9,0,1
87899,234917,594,24,2,7.7,0,1
50019,159920,622,24,1,5.8,1,0
66531,312353,705,60,3,3.5,2,0
61225,177532,758,36,0,0.8,0,1
116578,163443,637,12,2,7.1,1,1
77391,128362,609,48,1,13.2,1,1
52442,159348,650,36,2,5.4,0,0
35889,139327,704,36,0,0,1,0
22871,199568,520,24,1,6.4,1,0
59069,216969,443,48,2,7.6,0,0
39873,94981,600,60,0,2.2,0,0
26555,56814,540,36,0,3.1,0,0
42069,21466,604,60,1,2.8,2,1
33369,185559,637,36,1,3.4,2,0
88743,72764,609,60,0,4.5,1,1
72633,20000,781,48,0,2.4,0,1
54841,177201,679,24,0,1.3,0,0
84599,324510,677,48,2,5.5,0,1
56547,149575,706,12,1,4.5,0,0
37774,208694,548,24,2,3.7,1,0
85462,155728,744,48,3,5.2,2,0
65778,143078,643,12,1,0.4,2,1
34255,214335,710,36,0,5.8,1,0
51193,129681,554,36,0,3.8,0,1
37488,168717,510,60,0,5.7,0,0
27344,172519,724,24,3,6.2,0,0
73524,103234,684,36,1,8.4,1,1
93188,219443,569,24,0,5.3,1,0
27029,137753,572,36,0,8.2,0,0
66259,97098,751,60,1,4,0,1
41987,187556,543,48,1,4.2,0,0
45257,87107,798,60,0,4.7,0,1
43152,151973,569,12,3,7.3,0,0
37720,149362,707,36,1,6.9,0,1
55970,226013,620,12,0,5.4,0,0
38381,183229,704,12,2,1.3,1,0
60409,148248,601,24,0,6.8,0,1
53995,207244,635,36,3,2.4,0,0
50221,247315,654,12,3,2.3,0,1
36849,189047,560,48,2,1.6,0,0
43465,150725,717,12,2,4.8,0,0
70108,58171,604,48,0,8.6,0,1
65018,75442,629,24,3,2.1,0,1
35449,128634,561,12,1,10,0,0
56987,107334,419,60,2,7.7,1,0
70028,136912,633,24,3,0.6,0,1
21612,153965,867,48,3,3.9,1,0
65867,187078,721,24,2,1.9,0,1
41748,145065,648,12,0,7,0,0
66412,184055,626,36,3,2,0,0
39735,154513,652,36,1,0.1,0,0
18902,20000,699,48,3,4,2,0
22449,84247,544,48,1,8.5,1,0
55962,139914,750,36,0,4.4,2,1
60194,65321,714,48,0,6.2,2,0
36914,191995,715,24,1,6.3,1,0
67772,257153,689,60,2,0.5,0,1
21770,235313,652,60,0,2.3,0,0
53678,135059,711,24,1,5,2,1
30780,254351,703,60,0,3.3,1,0
41963,160407,618,12,2,10.1,0,0
55948,126404,598,24,1,1.3,1,1
37792,107062,659,48,0,2.3,0,0
47309,128827,789,24,0,5.9,0,1
75126,122828,538,36,0,3.1,0,1
43462,161929,518,48,1,0,1,0
71714,161240,665,36,0,10.8,1,1
32406,150213,655,48,0,1.8,0,0
65596,180586,666,60,3,6.7,0,0
83831,233345,672,24,2,1.2,0,1
15000,216469,630,12,1,2.4,1,0
39062,46057,784,48,3,0.1,0,1
66541,20000,506,48,0,2.8,0,1
50939,215402,575,36,1,3.1,0,0
62423,54318,641,60,1,4.6,0,0
42920,134266,502,36,1,3.9,0,0
56732,68092,634,36,0,0.7,1,0
51886,23861,800,60,1,3.4,0,1
78356,187902,652,12,1,9.3,1,1
60088,203141,671,36,2,9,0,1
61752,109644,537,36,0,6.4,0,1
46762,20000,595,48,0,7,0,1
45248,111763,616,60,0,11.2,1,0
46349,177426,621,24,0,6.7,2,0
62889,46476,765,12,1,6.9,2,1
46580,162835,700,12,0,0.3,0,1
60795,148928,550,60,2,1.7,0,0
96508,190550,672,48,0,4.9,1,1
72422,158371,695,48,0,2.6,1,1
48480,81885,753,60,1,2,0,1
79024,233760,792,48,0,2.4,1,1
46838,138903,559,12,1,0.7,0,0
15000,148089,577,12,1,2.6,0,0
34838,84671,537,24,0,6,0,1
17584,118970,629,60,0,10.4,0,0
47970,88064,692,36,0,7.4,0,1
55368,137894,739,36,0,6.9,0,1
88529,269820,643,24,0,0.1,0,1
61539,53967,621,24,0,5.4,0,1
50618,37051,664,48,0,4.8,0,1
71588,252982,575,24,1,5.9,1,0
15000,135347,838,24,1,3.9,0,1
59712,103165,505,36,1,10,0,0
70417,222793,667,48,0,5.2,0,0
25428,107607,832,24,0,5.5,2,0
77875,277821,651,24,2,0,0,1
61770,197455,633,48,1,4.7,0,0
46694,115846,618,60,2,8.4,0,0
67656,301012,634,48,0,6.7,1,1
100414,107600,774,36,1,0,0,1
58637,201947,451,60,1,3.7,0,1
59964,170950,788,12,0,10.2,0,1
45813,241122,522,48,1,4.5,0,0
38003,259306,626,36,1,6,1,0
71607,152240,611,60,0,9.9,1,1
37878,97261,703,48,0,4.5,1,0
56431,182198,506,24,2,7.4,1,0
45447,102560,692,48,3,6.2,0,0
64580,290937,832,12,0,6.9,0,1
61673,159557,527,48,0,6.1,1,0
75751,124427,667,60,0,3.4,0,1
44800,162928,590,60,1,3.7,1,0
49603,55701,688,48,0,2.4,0,1
35425,81987,652,60,3,0.1,0,0
46114,234029,592,24,0,8.7,1,0
62546,104017,694,48,0,5,1,0
70140,76716,812,24,1,8.6,1,1
36557,187566,633,24,2,9.7,0,0
72392,232999,715,36,1,5.2,1,1
82113,200327,534,48,1,1.1,0,0
63269,219723,564,60,3,4.4,0,0
92536,97024,693,24,0,3,2,1
39524,50473,784,36,2,0,1,1
30107,255093,682,48,0,3.5,0,0
19426,127412,622,48,2,4.8,1,0
84921,132442,650,12,1,3.1,0,1
68087,242974,537,12,0,2.7,0,0
53888,188936,704,24,2,1.2,0,0
60599,181912,729,12,0,5.6,2,1
32490,301550,609,24,0,10.6,0,0
103915,104954,608,60,1,8.8,1,1
57584,214949,674,24,0,7,0,0
57188,153991,611,12,1,7,1,0
69515,168801,644,60,0,4.6,0,1
64620,256993,839,12,0,0,1,1
59478,185549,628,24,0,3.9,0,0
39191,187681,618,36,0,2.1,1,0
64429,225076,592,48,1,5.5,2,0
92640,124453,717,12,2,8.7,1,1
81908,91255,634,24,3,10.9,0,1
86864,76863,592,60,2,5.2,2,0
44776,20000,769,12,0,0,0,1
35208,293934,778,12,1,5.2,1,0
52484,72775,596,48,0,5.3,1,1
56114,134512,482,24,0,7,0,0
76884,130623,741,36,1,4.9,0,1
21151,171518,588,60,0,5.2,0,0
85591,207102,721,24,0,3.1,0,1
51840,210233,473,60,3,4.1,1,0
46462,109185,730,12,1,6.5,0,1
34758,138301,541,48,1,0,0,0
21903,169781,716,48,0,4,0,0
71463,132592,651,36,0,7.1,0,1
56466,262514,564,48,2,9.9,0,0
29201,184368,613,12,0,3.8,1,0
29098,201441,712,36,1,8.6,0,0
48284,196402,660,24,0,10.1,1,1
88380,232143,703,48,1,3.8,0,1
49808,162672,828,36,0,3.3,0,1
24937,59222,509,12,2,4.5,1,0
50085,177978,796,60,2,4.8,0,1
49546,104405,659,60,2,8.3,0,1
15000,112997,569,12,0,2.7,0,0
53914,191045,530,12,2,9.6,0,1
50381,236680,633,60,1,2.6,0,0
68924,151489,733,36,0,1.2,0,1
91979,171618,639,60,1,6.6,0,1
77531,269155,786,12,0,8.7,0,1
49622,166853,519,48,0,5.5,0,0
32869,332118,649,24,2,6.3,0,0
106467,189586,537,48,0,10.9,0,1
56184,26747,683,48,1,8.7,0,1
55279,202734,730,12,0,5.1,2,0
54517,176681,612,60,2,3.7,0,1
58962,240283,416,36,3,8.3,1,0
52113,197123,668,48,2,7.5,0,0
43527,140308,689,60,0,6.3,2,1
44063,64299,686,36,0,4,0,1
54345,135368,761,48,1,4.8,2,0
44132,90464,554,36,0,4.6,1,0
40743,109363,711,60,0,4.1,0,1
57129,191200,757,24,1,3.2,1,1
49900,266893,490,60,1,5.8,0,0
85080,177627,679,12,3,3.1,0,1
15000,66288,605,36,0,5.5,1,0
76830,181122,643,24,0,0,2,0
79922,233764,681,36,0,3.2,0,1
15000,107315,606,36,3,8.3,0,0
48146,140619,589,48,2,2.3,1,0
47571,151028,653,12,2,6.8,1,1
26850,95057,552,36,3,2.5,1,0
39444,195380,552,60,1,7.3,1,0
32788,141534,711,60,1,4.1,0,0
90045,179367,547,48,0,4,2,0
73714,87876,710,12,1,5.2,0,1
80431,119378,692,12,1,1,0,0
69433,200567,495,60,1,7.9,0,0
32419,123902,589,24,3,8.9,0,0
44510,270887,757,48,3,3.9,0,0
64787,122025,562,48,2,6.6,1,0
30557,165728,608,60,2,7.3,0,0
69260,215281,692,60,1,4.7,0,1
50193,50714,721,24,0,1.7,1,1
47504,26743,627,24,0,9.8,0,1
69219,43204,596,12,1,3.8,0,1
63885,238381,778,48,2,3.2,0,1
47781,111370,807,48,0,9.9,2,1
78187,329074,738,60,3,6.8,0,1
33379,110503,658,12,0,5.8,0,0
67319,162919,577,48,0,2.1,0,0
66862,257948,575,12,1,7.4,0,1
48809,290427,697,12,0,13.7,0,0
61523,294305,688,60,0,7.6,0,1
29978,234586,776,12,0,6.5,0,1
73481,221684,709,24,2,7.2,2,0
51302,191477,515,24,1,4,0,0
44546,204485,745,36,1,4,0,1
75980,111417,560,60,1,3.9,0,1
40913,92726,615,36,0,3.3,0,1
26831,149764,673,24,3,3.9,1,0
23867,138087,830,36,0,3.9,0,0
67120,118274,900,60,3,4.3,0,1
